# this is a test
0.9787293,0.84002927,0.78723223,0.85350545,0.42414692,
0.46687168,0.30332102,0.89130613,0.20988242,0.62679828,
0.10117761,0.93643973,0.23587507,0.41920254,0.68225378,
0.5983811,0.94778179,0.04590136,0.56987942,0.52856573,
0.12959587,0.95237423,0.74489919,0.20910307,0.14751102,
0.06854231,0.40226293,0.1783696,0.52819132,0.98386427,
0.2542576,0.27009231,0.59400143,0.57778402,0.41041578,
0.3385851,0.61776356,0.14233197,0.35784492,0.10975369,
0.74674677,0.78780538,0.44470678,0.34794175,0.92666395,
0.16967445,0.98910402,0.32981285,0.32134405,0.94766529,
